画,(映画)ガ,Picture,221
界,(世界)カイ,World,222
病,ビョウ(病気),Sick,223
発,ハツ,Departure,224
県,ケン,Prefecture,225
真,(写真)シン,Reality,226
着,き。る,To Wear,227
知,し。る,To Know,228
短,みじか。い,Short,229
研,ケン(研究),Study,230
私,わたし,I,231
秋,あき,Autumn,232
究,(研究)キュウ,Research,233
答,こた。える,To Answer,234
紙,かみ,Paper,235
終,お。わる,To End,236
習,なら。う,To Learn,237
考,かんが。える,To Consider,238
者,(医者)シャ,Person,239
肉,にく,Meat,240
自,ジ(自分),Oneself,241
色,いろ,Colour,242
英,エイ(英語),Outstanding,243
茶,ちゃ,Tea,244
菜,(野菜)さい,Vegetable,245
薬,くすり,Medicine,246
親,おや,Relative,247
計,ケイ(計画),Plan,248
試,シ(試験),Test,249
説,セツ(説明),Opinion,250
貸,か。す,To Lend,251
質,シツ(質問),Quality,252
赤,あか,Red,253
走,はし。る,To Run,254
起,お。きる,To Get Up,255
転,テン,Turning,256
軽,かる。い,Light,257
近,ちか。い,Near,258
送,おく。る,To Send,259
通,つう,Traffic,260
進,すす。む,To Advance,261
運,はこ。ぶ,To Carry,262
遠,とお。い,Far,263
都,(京都)ト,Metropolitan,264
重,おも。い,Heavy,265
野,ヤ(野菜),Field,266
銀,ぎん,Silver,267
門,もん,Gate,268
開,あ。ける,To Open,269
院,(病院)イン,Institute,270
集,あつ。まる,To Collect,271
青,あお。い,Blue,272
音,おと,Sound,273
頭,あたま,Head,274
題,(問題)ダイ,Topic,275
顔,かお,Face,276
風,かぜ,Wind,277
飯,(朝ご飯)はん,Meal,278
館,(美術館)カン,Building,279
首,くび,Neck,280
験,(試験)ケン,Effect,281
鳥,とり,Bird,282
黒,くろ。い,Black,283
丁,テイ(丁寧),Street,284
刀,かたな,Sword,285
士,さむらい,Samurai,286
丸,まる,Round,287
才,さい,Age,288
弓,ゆみ,Bow,289
内,ナイ,Inside,290
氏,し,Mr.,291
化,(文化)カ,Change,292
公,コウ(公園),Public,293
予,ヨ(予定),Prior,294
反,ハン(反対),Anti,295
夫,(大丈夫)ブ,Husband,296
戸,とびら,Door,297
王,オウ,King,298
欠,ケツ,Lack,299
毛,もう,Fur,300
平,ヘイ(平和),Peace,301
加,くわ。える,Increase,302
打,う。つ,Punch,303
必,かなら。ず,Certain,304
付,つ。ける,Adhere,305
由,(自由)ユウ,Wherefore,306
石,いし,Stone,307
辺,ヘン,Vicinity,308
失,シ(失敗),Lose,309
末,(週末)マツ,End,310
申,もう。します,Be called,311
史,(歴史)シ,History,312
他,ほか,Other,313
央,(中央)オウ,Centre,314
番,バン(番号),Number,315
号,(番号)ゴウ,Item,316
園,(公園)エン,Garden,317
和,(平和)ワ,Harmony,318
対,(反対)タイ,Opposite,319
定,(予定)テイ,Determine,320
敗,(失敗)ハイ,Failure,321
歴,レキ(歴史),Curriculum,322
未,ミ(未来),Not Yet,323
玉,(金玉)タマ,Jewel,324
寿,ス(寿司),Longevity,325
司,(寿司)シ,Official,326
命,めい。じる,Command,327
令,(命令)レイ,Orders,328
功,コウ,Achievement,329
札,サツ,Paper Tag,330
礼,(失礼)レイ,Thanks,331
包,ホウ,Wrap,332
皮,カワ,Skin,333
矢,(弓矢)ヤ,Arrow,334
氷,こう。り,Ice,335
皿,さら,Plate,336
米,ベイ,Rice,337
全,ゼン(全部),Entire,338
当,(本当)トウ,Hit,339
成,セイ(成長),Become,340
共,とも。に,Together,341
交,まじ。わる,To Mingle,342
向,む。かう,Facing,343
次,つぎ,Next,344
各,カク,Each,345
両,リョウ(両方),Both,346
式,(六式)シキ,Style,347
争,(戦争)ソウ,Contend,348
